"","Gene","baseMean","log2FoldChange","lfcMLE","lfcSE","stat","pvalue","weight","padj","FoldChange"
"1","PPM1E",848.000194589489,-5.36394739975792,-5.37447704088303,0.139404541021533,-38.477565798444,0,0.77936433542838,0.000320518379053764,0.0242823624612435
"2","CRMP1",3193.72761868353,-4.07241686954418,-4.07722743793058,0.108577462847695,-37.5070181484778,7.07788010121176e-308,0.77936433542838,0.000320518379053764,0.0594402144232518
"3","RHBDL3",1040.63201614991,-6.22187198065714,-6.23947131190239,0.166904941844124,-37.2779374409888,3.73835998978967e-304,0.817834289788181,0.000592436449918839,0.0133976893803312
"4","CACNA1G",1026.35975164832,-6.19605951443498,-6.21579021698514,0.176180246315295,-35.1688662266166,5.98481201157608e-271,0.778712453329768,0.000985875161015316,0.0136395559373132
"5","MAST1",1485.26561886318,-6.27179878201647,-6.29262233999834,0.180138857317078,-34.8164681147996,1.37042174935655e-265,0.77936433542838,0.000985875161015316,0.0129419715218469
"6","RUFY3",2318.37693764296,-2.34248063647338,-2.34354016755183,0.0673153929891125,-34.7985881453927,2.55483824750319e-265,0.778712453329768,0.000985875161015316,0.197171011389297
"7","CACNA1B",392.959804129348,-5.6974308558671,-5.71295584961928,0.163890942823861,-34.7635492096127,8.65109844368439e-265,0.778712453329768,0.000985875161015316,0.0192709184758803
"8","SYT7",1201.16760327166,-5.26500134770626,-5.27732345057513,0.151937512688581,-34.6524123933611,4.10845629855569e-263,0.750378670365208,0.000985875161015316,0.0260061861658163
"9","LHX4",929.092653907773,-5.0904069472568,-5.1018138832473,0.148580651462574,-34.2602276753312,3.0714263784496e-257,0.750378670365208,0.000985875161015316,0.0293518053538948
"10","PPFIA2",1002.81243709617,-5.34569260959071,-5.35893393998614,0.156325378581767,-34.1959357980676,2.77880159495764e-256,0.796074379651176,0.000985875161015316,0.0245915655052005
"11","KCNAB3",555.525349247639,-4.9548198870692,-4.96538693224789,0.144988428361122,-34.1738988626613,5.90614957813953e-256,0.77936433542838,0.000985875161015316,0.0322441246122223
"12","UNC13A",1745.40958761181,-5.88115720314406,-5.89919028212366,0.172489975973344,-34.0956462539766,8.55770938468621e-255,0.796074379651175,0.000985875161015316,0.0169666176382397
"13","CHRNB2",583.776830425445,-6.16668721488627,-6.18738372031944,0.181516504292496,-33.9731488270029,5.55323999695837e-253,0.750378670365044,0.000985875161015316,0.0139200942064576
"14","ATP6V1G2",1026.64171635212,-5.73515282272587,-5.75172461515945,0.168940133135905,-33.9478412634623,1.31258405216409e-252,0.77936433542838,0.000985875161015316,0.0187735745092803
"15","ASIC4",870.961432059794,-8.11268521740785,-8.16126144184143,0.239046158545792,-33.9377351502336,1.85025716788137e-252,0.750378670365208,0.000985875161015316,0.00361275411336836
"16","KCNH6",555.995894396242,-6.79646736600652,-6.82508828702194,0.200554676809595,-33.8883514168011,9.89006773467143e-252,0.81783428978818,0.000985875161015316,0.00899620738151054
"17","GDAP1",913.509013124463,-3.13080224400659,-3.1335100103072,0.0928996085546405,-33.7009196563531,5.60411018539755e-249,0.750378670365208,0.000985875161015316,0.114165429292118
